"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Size,Type,Tag,Alignment,low | high,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Source,Page,Other Printings,,Name,Size,Type,Tag,Alignment,CR,[PH],Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,Source,Page,Reprint,Size,Type,Alignment,CR,Source,Owned,Core,Official,Charity,Third Party
,Any,Any,,Any,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core,Official,Charity,Third Party
"""The Demogorgon""",Large,Giant,,Chaotic Neutral,8,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,53,,,Omin Dran,Medium,Humanoid,Half-elf,Lawful Neutral,5,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,196,,Any,Any,Any,-,All,#N/A,Dungeon Master's Guide,Baldur's Gate: Descent into Avernus,Domains of Delight,Creature Codex
A-mi-kuk,Huge,Aberration,,Chaotic Evil,7,,,,,,,,x,,,,,,,,,x,,,Tome of Beasts 2,15,,,Jim Darkmagic,Medium,Humanoid,Human,Chaotic Neutral,5,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,197,,Gargantuan,Aberration,Any,0,Owned,,Fizban's Treasury of Dragons,Candlekeep Mysteries,Infernal Machine Rebuild,Dark Arts Player's Companion
Aalpamac,Huge,Monstrosity,,Unaligned,7,,,,,,,,,x,,,,,,,,x,,,Tome of Beasts 2,8,,,Viari,Medium,Humanoid,Human,Chaotic Good,5,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,198,,Huge,Beast,Any ,1/8,Core,,Monster Manual,Curse of Strahd,Locathah Rising,DM's Guild: Blood Hunter Class for D&D 5e (2020)
Aarakocra,Medium,Humanoid,Aarakocra,Neutral Good,1/4,,,,,,,,,,,,,,x,,,,,,Monster Manual,12,,,Môrgæn,Medium,Humanoid,Elf,Chaotic Neutral,4,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,199,,Large,Celestial,Any Chaotic,1/4,Official,,Mordenkainen Presents: Monsters of the Multiverse,Dungeon Master's Guide,Lost Laboratory of Kwalish,DM's Guild: Blood Magic
Aatxe,Large,Celestial,Shapechanger,Lawful Good,5,,,x,x,,,,,,,,x,,,,,,x,,Creature Codex,7,,,Flabbergast,Medium,Humanoid,Human,Lawful Neutral,4,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,200,,Medium,Construct,Any Chaotic or Evil,1/2,Charity,,Mordenkainen's Tome of Foes,Dungeons & Dragons vs. Rick and Morty,Minsc and Boo's Journal of Villainy,DM's Guild: College of the Maestro
Aaztar-ghola,Medium,Humanoid,,Chaotic Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,5,,,Donaar Blit'zen,Medium,Humanoid,Dragonborn,Chaotic Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,201,,Small,Dragon,Any Evil,1,Playtest,,Player's Handbook,Eberron: Rising From the Last War,Mordenkainen's Fiendish Folio vol. 1,DM's Guild: Expanded Racial Feats
Abbanith Giant,Large,Giant,,Neutral,3,,,,,,,,,,,,,,x,,x,,,,Tome of Beasts 2,170,,,K'thriss Drow'b,Medium,Humanoid,Elf,Chaotic Neutral,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,202,,Tiny,Elemental,Any Good,2,Third Party,,Tasha's Cauldron of Everything,Elemental Evil Player's Companion,One Grung Above,DM's Guild: Exploring Eberron
Abhorrent Overlord,Large,Fiend,,Lawful Evil,9,,x,,,,,,,,,,,,,,,,,x,Mythic Odysseys of Theros,219,,,Rosie Beestinger,Small,Humanoid,Halfling,Chaotic Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,203,,,Fey,Any Lawful,3,,,Volo's Guide to Monsters,Explorer's Guide to Wildemount,Return to the Glory,DM's Guild: Gunslinger Martial Archetype for Fighters
Abjurer,Medium,Humanoid,Any Race,Any,9,,x,,,,,,,,,,,,,,,,x,,Volo's Guide to Monsters,209,,,Walnut Dankgrass,Medium,Humanoid,Elf,Lawful Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,204,,,Fiend,Any Neutral,4,,,Xanathar's Guide to Everything,Fizban's Treasury of Dragons,The Tortle Package,DM's Guild: Morgrave Miscellany
Abjurer Wizard,Medium,Humanoid,,Any,9,,x,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,260,,,Brahma Lutter,Medium,Humanoid,Elf,Neutral,2,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,205,,,Giant,Any Non-Evil,5,,,,Ghosts of Saltmarsh,,DM's Guild: Volo's Complete Subrace Handbook
Aboleth,Large,Aberration,,Lawful Neutral,10,,,x,x,,,,,,,,,,,,x,,,,Monster Manual,13,,,Oak Truestrike,Medium,Humanoid,Elf,Neutral,2,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,205,,,Humanoid,Any Non-Good,6,,,,Guildmaster's Guide to Ravnica,,DM's Guild: Wayfinder's Guide to Eberron
