Officiality,Name,Size,Type,Alignment,AC,HP,Normal,Flying,Swim,Burrow,Climb,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Skills,WRI,Senses,Languages,CR,XP,Unknown,All Environments,Arctic,Coastal,Desert,Forest,Grassland,Hills,Jungle,Mountain,Swamp,Underdark,Underwater,Urban,Additional,Source,Author
Official,,,,,,,Normal,Flying,Swim,Burrow,Climb,,,,,,,,,,,,,,Unknown,All Environments,Arctic,Coastal,Desert,Forest,Grassland,Hills,Jungle,Mountain,Swamp,Underdark,Underwater,Urban,,,
,Aarakocra,Medium,Humanoid,NG,12,13,20 ft.,fly 50 ft.,swim 10 ft.,,,10,14,10,11,12,11,-,Perception,-,-,Auran,0.25,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dive Attack,Curse of Strahd,Wizards of the Coast
,Abjurer,Medium,Humanoid,ANY,12,84,30 ft.,,,,,9,14,14,18,12,11,"INT, WIS","Arcana, History",-,-,Any,9,5000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Normal Spellcasting, Arcane Ward",Mordenkainen's Tome of Foes,Wizards of the Coast
,Aboleth,Large,Aberration,LE,17,135,10 ft.,,swim 40 ft.,,,21,9,15,18,15,18,"CON, INT, WIS","History, Perception",-,Darkvision 120,"Deep Speech, Telepathy 120",10,5900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amphibious, Mucous Cloud, Probing Telepathy, Legendary, Lair",Curse of Strahd,Wizards of the Coast
,Abominable Yeti,Huge,Monstrosity,CE,15,137,40 ft.,,,,climb 40 ft.,24,10,22,9,13,9,-,"Perception, Stealth",Poisonres,Darkvision 60,Own,9,5000,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fear of Fire, Keen Smell, Snow Camouflage",Volo's Guide to Monsters,Wizards of the Coast
,Abyssal Wretch,Medium,Fiend,CE,11,18,20 ft.,,,,,9,12,11,5,8,5,-,-,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,0.25,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,Monster Manual,Wizards of the Coast
,Acolyte,Medium,Humanoid,ANY,10,9,30 ft.,,,,,10,10,10,10,14,11,-,"Medicine, Religion",-,-,Any,0.25,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal Spellcasting,Mordenkainen's Tome of Foes,Wizards of the Coast
,Adult Black Dragon,Huge,Dragon,CE,19,195,40 ft.,fly 80 ft.,swim 40 ft.,,,23,14,21,14,13,17,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 60, Darkvision 120","Common, Draconic",14,11500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Adult Blue Dragon,Huge,Dragon,LE,19,225,40 ft.,fly 80 ft.,,burrow 40 ft.,,25,10,23,16,15,19,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 60, Darkvision 120","Common, Draconic",16,15000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Legendary, Legendary Resistance, Lair",Monster Manual,Wizards of the Coast
,Adult Brass Dragon,Huge,Dragon,CG,18,172,40 ft.,fly 80 ft.,,burrow 30 ft.,,23,10,21,14,13,17,"DEX, CON, WIS, CHA","History, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, Darkvision 120,","Common, Draconic",13,10000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Legendary, Legendary Resistance, Lair",Monster Manual,Wizards of the Coast
,Adult Bronze Dragon,Huge,Dragon,LG,19,212,40 ft.,fly 80 ft.,swim 40 ft.,,,25,10,23,16,15,19,"DEX, CON, WIS, CHA","Insight, Perception, Stealth",Lightningimmu,"Blindsight 60, Darkvision 120","Common, Draconic",15,13000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Adult Copper Dragon,Huge,Dragon,CG,18,184,40 ft.,fly 80 ft.,,,climb 40 ft.,23,12,21,18,15,17,"DEX, CON, WIS, CHA","Deception, Perception, Stealth",Acidimmu,"Blindsight 60, Darkvision 120","Common, Draconic",14,11500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Adult Gold Dragon,Huge,Dragon,LG,19,256,40 ft.,fly 80 ft.,swim 40 ft.,,,27,14,25,16,15,24,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, Darkvision 120","Common, Draconic",17,18000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Adult Green Dragon,Huge,Dragon,LE,19,207,40 ft.,fly 80 ft.,swim 40 ft.,,,23,12,21,18,15,17,"DEX, CON, WIS, CHA","Deception, Insight, Perception, Persuasion, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, Darkvision 120","Common, Draconic",15,13000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Adult Kruthik,Medium,Monstrosity,U,18,39,40 ft.,,,burrow 20 ft.,climb 40 ft.,15,16,15,7,12,8,-,-,-,"Darkvision 60, Tremorsense 60",Own,2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Keen Smell, Pack Tactics, Tunneler",Monster Manual,Wizards of the Coast
,Adult Oblex,Medium,Ooze,LE,14,75,20 ft.,,,,,8,19,16,19,12,15,"INT, CHA","Deception, Perception, Arcana, History, Nature, Religion","Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 60,"Common, Any",5,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amorphous, Aversion to Fire, Innate Spellcasting, Sulfurous Impersonation",Princes of the Apocalypse,Wizards of the Coast
,Adult Red Dragon,Huge,Dragon,CE,19,256,40 ft.,fly 80 ft.,,,climb 40 ft.,27,10,25,16,13,21,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 60, Darkvision 120","Common, Draconic",17,18000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Adult Silver Dragon,Huge,Dragon,LG,19,243,40 ft.,fly 80 ft.,,,,27,10,25,16,13,21,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 60, Darkvision 120","Common, Draconic",16,15000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Adult White Dragon,Huge,Dragon,CE,18,200,40 ft.,fly 80 ft.,swim 40 ft.,burrow 30 ft.,,22,10,22,8,12,12,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 60, Darkvision 120","Common, Draconic",13,10000,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual,Wizards of the Coast
,Air Elemental,Large,Elemental,N,15,90,,fly 90 ft.,,,,14,20,14,6,10,6,-,-,"Lightningres, thunderres, nonmagicalres, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Auran,5,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Air Form,Monster Manual,Wizards of the Coast
